name,record,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,Unnamed: 11,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,url
Cole Escovedo,Record: 17-9-0,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.77,43%,4.32,49%,,0.43,33%,13%,0.0,http://www.ufcstats.com/fighter-details/5df17b3620145578
Paul Bradley,Record: 23-8-0 (2 NC),"5' 9""",170 lbs.,--,Orthodox,"Jun 13, 1983",2.26,32%,4.13,56%,,1.12,16%,100%,0.0,http://www.ufcstats.com/fighter-details/c7011de4765d2497
Matt Lucas,Record: 15-3-0,"6' 1""",205 lbs.,--,,--,1.27,48%,3.93,40%,,1.0,10%,0%,0.0,http://www.ufcstats.com/fighter-details/668222c99c5c311d
Rob Broughton,Record: 16-7-1,"6' 2""",265 lbs.,"74""",Orthodox,"Mar 03, 1983",2.83,60%,2.54,51%,,0.0,0%,26%,3.2,http://www.ufcstats.com/fighter-details/a7d687e6ecb30981
Tyson Griffin,Record: 16-8-0,"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",3.71,41%,2.3,65%,,1.87,46%,59%,0.9,http://www.ufcstats.com/fighter-details/20205040232ed0f3
Eliot Marshall,Record: 10-4-0,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",1.93,27%,2.39,67%,,0.47,33%,79%,0.9,http://www.ufcstats.com/fighter-details/a08d909a5be6f410
Danny Downes,Record: 8-3-0,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",1.66,34%,3.53,37%,,0.0,0%,37%,0.5,http://www.ufcstats.com/fighter-details/a66395395b5f1394
Kenny Florian,Record: 14-6-0,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,,2.22,33%,60%,1.3,http://www.ufcstats.com/fighter-details/cb139171ed1b69fe
Matt Hughes,Record: 45-9-0,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,,2.95,50%,35%,1.2,http://www.ufcstats.com/fighter-details/621a6c59f88a44fe
Ricardo Romero,Record: 11-3-0,"6' 0""",205 lbs.,"76""",Orthodox,"Apr 15, 1978",2.17,55%,4.77,46%,,1.63,10%,100%,3.3,http://www.ufcstats.com/fighter-details/744e098e065cfdbe
Donny Walker,Record: 15-10-0,"5' 9""",135 lbs.,--,,"Jan 04, 1980",1.81,37%,3.85,46%,,0.0,0%,57%,1.7,http://www.ufcstats.com/fighter-details/e6147d5ab3685899
Mike Lullo,Record: 8-3-0,"5' 8""",145 lbs.,--,Orthodox,"Jul 24, 1979",2.48,36%,4.84,40%,,1.18,11%,0%,0.6,http://www.ufcstats.com/fighter-details/e26882820f9e8df5
Ian Loveland,Record: 18-10-0,"5' 8""",145 lbs.,--,Orthodox,"Sep 07, 1983",2.71,40%,2.36,64%,,1.0,37%,69%,0.3,http://www.ufcstats.com/fighter-details/eea0274e153256a0
Chris Lytle,Record: 31-18-5,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,,0.7,55%,55%,2.4,http://www.ufcstats.com/fighter-details/91acd6910b802a9e
TJ O'Brien,Record: 20-8-0,"6' 2""",155 lbs.,--,Orthodox,"Jan 01, 1987",3.77,46%,4.78,57%,,0.94,100%,0%,0.0,http://www.ufcstats.com/fighter-details/d25b93992f285953
Jason Reinhardt,Record: 20-3-0,"5' 6""",135 lbs.,--,Orthodox,"Oct 31, 1969",0.51,40%,4.07,43%,,1.91,12%,50%,0.0,http://www.ufcstats.com/fighter-details/02500fb9fd79a974
Andre Winner,Record: 21-11-2,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981",2.52,33%,4.57,51%,,0.0,0%,74%,0.0,http://www.ufcstats.com/fighter-details/b45d6b73f4ca4467
Javier Vazquez,Record: 16-5-0,"5' 7""",145 lbs.,"69""",Southpaw,"Jul 16, 1977",2.43,36%,1.99,72%,,2.56,52%,57%,1.5,http://www.ufcstats.com/fighter-details/be5cfd73617a5b1a
Joe Stevenson,Record: 33-16-0,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1982",2.05,44%,2.44,60%,,2.75,44%,39%,2.2,http://www.ufcstats.com/fighter-details/79899ecf62020f6d
Curt Warburton,Record: 13-6-0,"6' 0""",155 lbs.,"73""",Orthodox,--,2.13,42%,3.44,43%,,2.35,50%,83%,0.9,http://www.ufcstats.com/fighter-details/2721bb808bb2523c
Shane Carwin,Record: 12-2-0,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975",4.38,47%,3.53,53%,,1.42,33%,42%,0.0,http://www.ufcstats.com/fighter-details/68dd7b3783c19f9c
Jesse Bongfeldt,Record: 16-5-1,"6' 0""",185 lbs.,--,Orthodox,"Aug 28, 1980",2.91,62%,1.01,50%,,1.51,33%,33%,0.0,http://www.ufcstats.com/fighter-details/934de214814b8ff4
Tim Credeur,Record: 12-4-0,"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",3.59,30%,3.13,57%,,0.41,100%,50%,3.3,http://www.ufcstats.com/fighter-details/89b8d1bf1ff09d1d
Chuck O'Neil,Record: 17-9-0,"6' 2""",170 lbs.,--,,"Sep 22, 1985",3.13,37%,4.4,72%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/56bc9ccb609df534
Ryan McGillivray,Record: 12-0-1,"5' 11""",170 lbs.,--,,"Sep 27, 1986",1.27,20%,2.2,52%,,0.0,0%,44%,0.0,http://www.ufcstats.com/fighter-details/1f9c371c93dfd3a9
Kendall Grove,Record: 23-17-0 (1 NC),"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",2.31,41%,2.4,54%,,0.49,45%,56%,1.7,http://www.ufcstats.com/fighter-details/234f3767ff0e5701
Randy Couture,Record: 19-11-0,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,,2.78,46%,58%,0.5,http://www.ufcstats.com/fighter-details/0aa92558424ced9e
Charlie Valencia,Record: 12-7-0,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974",2.58,37%,2.61,77%,,1.4,53%,75%,0.5,http://www.ufcstats.com/fighter-details/8a0be41c0380188d
Ryan Jensen,Record: 21-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",2.84,39%,2.99,59%,,1.55,50%,31%,1.9,http://www.ufcstats.com/fighter-details/aae99701b21554e4
Kyle Watson,Record: 13-8-1,"6' 0""",155 lbs.,--,Southpaw,"Aug 09, 1979",3.67,35%,3.25,62%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/d7b2c0b53883ee80
Jon Madsen,Record: 8-2-0,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",2.46,41%,1.18,81%,,1.32,71%,70%,0.0,http://www.ufcstats.com/fighter-details/7691a80e6ca3e55b
Kris McCray,Record: 8-5-0,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981",2.69,45%,2.57,54%,,2.88,55%,38%,0.0,http://www.ufcstats.com/fighter-details/baed16f18348908e
Sean McCorkle,Record: 17-7-0,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,44%,2.48,52%,,2.12,40%,33%,4.2,http://www.ufcstats.com/fighter-details/008dc37cca279def
Mario Miranda,Record: 14-7-0,"6' 3""",185 lbs.,"74""",Orthodox,"Jul 12, 1979",1.96,54%,2.46,36%,,1.02,60%,54%,0.0,http://www.ufcstats.com/fighter-details/df2bf09c99594848
Waylon Lowe,Record: 16-7-0 (2 NC),"5' 7""",145 lbs.,--,Southpaw,"Oct 31, 1980",1.88,55%,2.4,53%,,4.47,55%,83%,0.3,http://www.ufcstats.com/fighter-details/28f62d866c59c709
Ricardo Almeida,Record: 13-5-0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.2,61%,,3.74,38%,31%,1.2,http://www.ufcstats.com/fighter-details/91186547a7f3f758
Kurt Pellegrino,Record: 16-7-0,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979",2.45,43%,1.94,63%,,2.9,54%,69%,0.8,http://www.ufcstats.com/fighter-details/aa1952ec0b3dd8e1
Rob Kimmons,Record: 25-9-0,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981",1.86,48%,4.79,38%,,2.08,46%,25%,2.4,http://www.ufcstats.com/fighter-details/054defd5420a551f
Todd Brown,Record: 16-4-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"Dec 13, 1976",2.15,45%,3.85,48%,,0.0,0%,50%,0.0,http://www.ufcstats.com/fighter-details/9b68bf67c5695185
Chris Tuchscherer,Record: 21-4-0 (1 NC),"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975",1.35,31%,3.17,47%,,1.19,18%,0%,0.6,http://www.ufcstats.com/fighter-details/df05aa15b2d66f57
Maciej Jewtuszko,Record: 12-3-0,"6' 0""",155 lbs.,--,Southpaw,"Jan 31, 1981",2.29,45%,1.39,66%,,0.0,0%,42%,0.9,http://www.ufcstats.com/fighter-details/6b5b9be990774f0e
Antonio Banuelos,Record: 20-11-1,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",2.69,33%,3.15,58%,,1.62,62%,86%,0.4,http://www.ufcstats.com/fighter-details/9ddfb3369a3b0394
Paul Kelly,Record: 14-5-0,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984",3.22,37%,2.61,59%,,1.34,60%,30%,1.5,http://www.ufcstats.com/fighter-details/aac5ac38148f0528
Paul Taylor,Record: 11-6-1 (1 NC),"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979",4.44,47%,4.47,55%,,0.27,25%,56%,0.5,http://www.ufcstats.com/fighter-details/9b74de674c355425
Gabe Ruediger,Record: 18-8-0,"5' 10""",155 lbs.,--,Orthodox,"Aug 29, 1977",1.7,31%,5.16,41%,,2.04,11%,28%,0.0,http://www.ufcstats.com/fighter-details/ccba80d4820ef557
Tim Hague,Record: 21-13-0,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983",2.79,47%,4.14,46%,,1.72,33%,85%,0.9,http://www.ufcstats.com/fighter-details/219a254e15d60135
Mike Guymon,Record: 15-6-1,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,,1.87,37%,54%,1.2,http://www.ufcstats.com/fighter-details/eaea0fc7b76525a8
Willamy Freire,Record: 26-6-0,"5' 8""",155 lbs.,--,Orthodox,"Jul 28, 1987",1.53,37%,0.93,62%,,0.5,100%,73%,0.0,http://www.ufcstats.com/fighter-details/f1f37d667bcd0d27
Amilcar Alves,Record: 15-12-0,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,46%,2.02,30%,,0.0,0%,53%,0.0,http://www.ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Marcus Davis,Record: 22-11-0 (1 NC),"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",2.72,39%,2.79,65%,,1.6,48%,47%,1.4,http://www.ufcstats.com/fighter-details/b7d524c77c27389b
Phil Baroni,Record: 15-18-0,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",2.77,45%,3.93,40%,,1.46,47%,60%,0.5,http://www.ufcstats.com/fighter-details/1652f3213655b935
Greg Soto,Record: 9-4-0,"5' 11""",170 lbs.,"73""",Orthodox,"Jun 03, 1986",3.21,63%,2.61,52%,,1.49,27%,44%,1.0,http://www.ufcstats.com/fighter-details/9c669abd35b2522f
Antonio McKee,Record: 29-6-2,"5' 8""",155 lbs.,--,Southpaw,"Mar 12, 1970",1.37,45%,0.74,74%,,1.47,33%,57%,0.0,http://www.ufcstats.com/fighter-details/3414b50b08a10600
Joe Doerksen,Record: 51-16-0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,,2.02,33%,33%,2.3,http://www.ufcstats.com/fighter-details/dbaaf42313af90fa
Dustin Hazelett,Record: 12-7-0,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986",2.24,40%,3.51,46%,,0.55,50%,25%,4.1,http://www.ufcstats.com/fighter-details/a149d6bc670cdb60
Pat Audinwood,Record: 11-2-1,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,,0.8,50%,0%,0.0,http://www.ufcstats.com/fighter-details/196ed28337adc630
Aaron Wilkinson,Record: 11-7-0,"5' 10""",155 lbs.,--,Orthodox,"Jan 31, 1987",0.0,0%,0.0,100%,,7.32,100%,0%,0.0,http://www.ufcstats.com/fighter-details/338a11d3674eb2d4
Tyler Toner,Record: 15-7-0 (1 NC),"5' 8""",145 lbs.,"70""",Orthodox,"Mar 31, 1983",2.95,52%,2.13,62%,,0.0,0%,54%,0.4,http://www.ufcstats.com/fighter-details/8e893f269d5696b2
Sako Chivitchian,Record: 8-1-0,"5' 11""",155 lbs.,--,Orthodox,"Mar 11, 1984",2.4,27%,4.8,46%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/9f7787e56a6bc0f4
Fredson Paixao,Record: 10-5-0 (1 NC),"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979",1.71,54%,2.31,62%,,0.62,11%,10%,2.2,http://www.ufcstats.com/fighter-details/320edfb0332b7073
Maiquel Falcao,Record: 37-10-0 (1 NC),"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981",1.67,55%,0.53,86%,,1.0,100%,71%,3.0,http://www.ufcstats.com/fighter-details/d58478ded5534695
Gerald Harris,Record: 23-5-0,"5' 11""",185 lbs.,"77""",Southpaw,"Nov 19, 1979",1.41,29%,1.58,62%,,2.96,54%,72%,0.0,http://www.ufcstats.com/fighter-details/c4b81cdecd5d6abe
Brian Foster,Record: 27-10-0,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.3,39%,1.63,65%,,3.67,60%,37%,1.8,http://www.ufcstats.com/fighter-details/3dc3022232b79c7a
Karo Parisyan,Record: 24-11-0 (1 NC),"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,,5.27,59%,59%,1.0,http://www.ufcstats.com/fighter-details/349aaa3da11eb587
Goran Reljic,Record: 15-8-0,"6' 3""",205 lbs.,"81""",Southpaw,"Mar 20, 1984",1.69,37%,2.69,59%,,1.69,50%,33%,1.1,http://www.ufcstats.com/fighter-details/132f860d02953f4c
Nick Osipczak,Record: 6-3-0,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 30, 1984",2.83,50%,3.77,50%,,1.2,45%,71%,1.0,http://www.ufcstats.com/fighter-details/5b407acfe0ef9b76
Alexandre Ferreira,Record: 18-6-0,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979",2.57,60%,8.14,42%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/28ba5f27e473420c
Mark Scanlon,Record: 9-2-0,"5' 9""",170 lbs.,--,Orthodox,--,2.2,35%,3.33,48%,,3.0,75%,25%,2.0,http://www.ufcstats.com/fighter-details/771b60ff889661c8
Seth Petruzelli,Record: 14-8-0,"6' 0""",205 lbs.,"76""",Orthodox,"Dec 03, 1979",2.17,41%,2.08,55%,,0.46,50%,47%,2.3,http://www.ufcstats.com/fighter-details/93b9496275bbbf80
Gilbert Yvel,Record: 39-16-1 (1 NC),"6' 2""",225 lbs.,"77""",Orthodox,"Jun 30, 1976",1.05,47%,1.78,50%,,0.0,0%,25%,1.0,http://www.ufcstats.com/fighter-details/d29b5c4f22c6357d
James Wilks,Record: 7-4-0,"6' 1""",170 lbs.,"75""",Orthodox,"May 04, 1978",1.82,45%,2.03,50%,,1.27,22%,66%,3.8,http://www.ufcstats.com/fighter-details/852454c572675334
Vinicius Queiroz,Record: 8-4-0,"6' 7""",220 lbs.,--,Orthodox,"Aug 29, 1983",3.67,51%,4.1,41%,,5.07,70%,100%,0.7,http://www.ufcstats.com/fighter-details/2a8502954f49e682
Mark Holst,Record: 12-6-0,"6' 0""",155 lbs.,--,Orthodox,"Aug 14, 1985",0.25,19%,1.67,47%,,0.76,100%,60%,2.3,http://www.ufcstats.com/fighter-details/c11f50e9c1513ce9
James McSweeney,Record: 15-15-0,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,,0.52,33%,100%,1.1,http://www.ufcstats.com/fighter-details/cac08b8685387ca5
Matt Serra,Record: 11-7-0,"5' 6""",170 lbs.,"68""",Orthodox,"Jun 02, 1974",1.98,39%,2.64,46%,,2.05,20%,38%,0.9,http://www.ufcstats.com/fighter-details/86dfed7cc24a9fa7
Sean Sherk,Record: 36-4-1,"5' 6""",155 lbs.,"67""",Orthodox,"Aug 05, 1973",2.17,35%,2.71,55%,,4.09,46%,56%,0.4,http://www.ufcstats.com/fighter-details/029880cdbf5ca089
Steve Lopez,Record: 13-6-1,"5' 11""",155 lbs.,--,Orthodox,"Jul 30, 1984",1.39,24%,2.69,62%,,0.0,0%,37%,0.0,http://www.ufcstats.com/fighter-details/6085ceb59087514b
Julio Paulino,Record: 23-5-0,"6' 0""",170 lbs.,--,Orthodox,"Dec 04, 1975",0.97,27%,1.87,48%,,0.0,0%,37%,0.5,http://www.ufcstats.com/fighter-details/60c72f7459827881
John Gunderson,Record: 35-16-2,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",1.04,27%,1.71,58%,,1.67,33%,11%,2.0,http://www.ufcstats.com/fighter-details/a0c139b34f11421a
Tomasz Drwal,Record: 21-5-1,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,38%,2.26,57%,,3.55,60%,82%,0.4,http://www.ufcstats.com/fighter-details/679a9054e2815943
Forrest Petz,Record: 26-10-0,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1975",2.27,29%,2.2,57%,,1.3,100%,66%,0.0,http://www.ufcstats.com/fighter-details/e86bc32f5997a8f7
James Toney,Record: 0-1-0,"5' 9""",220 lbs.,--,Orthodox,"Aug 24, 1968",0.0,0%,2.41,27%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d10b35152277cf98
John Salter,Record: 14-3-0,"6' 1""",185 lbs.,"74""",Southpaw,"Mar 21, 1985",1.68,32%,1.68,68%,,2.85,46%,66%,0.5,http://www.ufcstats.com/fighter-details/010986ee359fb863
Rodney Wallace,Record: 26-15-1,"5' 9""",205 lbs.,"72""",Switch,"Nov 21, 1981",1.13,46%,3.44,45%,,6.0,54%,28%,1.0,http://www.ufcstats.com/fighter-details/b9415726dc3ec526
James Irvin,Record: 17-10-0 (2 NC),"6' 2""",205 lbs.,"75""",Orthodox,"Sep 12, 1978",2.03,48%,3.86,35%,,0.0,0%,36%,0.5,http://www.ufcstats.com/fighter-details/a7f4d0902bb64092
Steve Steinbeiss,Record: 9-4-0,"6' 3""",185 lbs.,"75""",Orthodox,"May 05, 1981",3.92,55%,1.86,49%,,0.44,50%,58%,0.0,http://www.ufcstats.com/fighter-details/0b5b6876c2a4723f
Keith Jardine,Record: 17-11-2,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975",3.25,36%,2.98,59%,,1.18,45%,62%,0.7,http://www.ufcstats.com/fighter-details/b9d0fd83bb8a147a
Jamie Yager,Record: 8-4-0,"6' 1""",185 lbs.,--,Orthodox,"Nov 29, 1983",3.08,39%,2.55,63%,,0.0,0%,66%,0.0,http://www.ufcstats.com/fighter-details/85248da6e9e2f7e7
Josh Bryant,Record: 15-4-0,"5' 10""",185 lbs.,--,Orthodox,"Apr 23, 1980",1.1,20%,6.1,43%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/01f022fa494188e2
James Hammortree,Record: 6-3-0,"6' 3""",185 lbs.,--,Orthodox,"Nov 29, 1983",1.93,30%,4.13,44%,,2.0,50%,100%,1.0,http://www.ufcstats.com/fighter-details/1f77fce698e80488
Chuck Liddell,Record: 21-8-0,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,35%,2.71,56%,,0.44,75%,81%,0.0,http://www.ufcstats.com/fighter-details/a390eb8a9b2df298
David Loiseau,Record: 23-11-0,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979",1.59,44%,3.64,43%,,0.43,42%,36%,0.1,http://www.ufcstats.com/fighter-details/22e47b53e4ceb27c
Jesse Lennox,Record: 14-4-0,"5' 9""",170 lbs.,"72""",Orthodox,"Mar 10, 1982",2.69,32%,3.2,64%,,1.22,66%,63%,0.3,http://www.ufcstats.com/fighter-details/3ae10ac4df3df05c
Dan Lauzon,Record: 17-6-0,"5' 10""",155 lbs.,--,Orthodox,"Mar 30, 1988",1.34,25%,4.09,61%,,1.63,33%,80%,2.7,http://www.ufcstats.com/fighter-details/4c8d6fde2dde07c4
Joe Brammer,Record: 7-3-1,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983",2.15,31%,2.8,56%,,0.81,50%,50%,0.0,http://www.ufcstats.com/fighter-details/013da757877044a2
Jesse Forbes,Record: 15-5-0,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,,1.79,75%,66%,1.2,http://www.ufcstats.com/fighter-details/947eccadb72f4f6f
Paul Daley,Record: 39-15-2,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",3.14,47%,2.37,60%,,0.91,40%,64%,0.0,http://www.ufcstats.com/fighter-details/23725c826c481e7f
Kevin Ferguson,Record: 5-2-0 (1 NC),"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",2.3,50%,3.41,38%,,3.1,72%,36%,1.2,http://www.ufcstats.com/fighter-details/27541033b97c076d
Jonathan Goulet,Record: 23-12-0 (1 NC),"6' 0""",170 lbs.,"73""",Orthodox,"Jul 13, 1979",1.61,41%,2.01,46%,,4.17,70%,45%,0.6,http://www.ufcstats.com/fighter-details/fb1538b46877a695
Yoshiyuki Yoshida,Record: 18-9-0,"5' 11""",170 lbs.,"70""",Southpaw,"May 10, 1974",0.85,36%,3.67,36%,,1.41,28%,25%,2.8,http://www.ufcstats.com/fighter-details/ab8900ae1f1dfd4c
Renzo Gracie,Record: 13-7-1 (1 NC),"5' 10""",185 lbs.,--,Orthodox,"Mar 11, 1967",1.71,41%,1.67,55%,,1.13,20%,40%,0.8,http://www.ufcstats.com/fighter-details/aae0897825336b1a
Brad Blackburn,Record: 18-13-1 (1 NC),"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",4.55,35%,3.59,65%,,0.93,50%,76%,0.7,http://www.ufcstats.com/fighter-details/7e69a4b0961aa555
Matt Veach,Record: 17-5-0,"5' 11""",155 lbs.,--,Orthodox,"May 31, 1981",1.12,28%,4.91,44%,,3.64,38%,100%,1.5,http://www.ufcstats.com/fighter-details/5731cc327790b731
Mostapha Al-Turk,Record: 6-6-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/1cf1310684a841f5
Nate Quarry,Record: 12-4-0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972",4.96,44%,2.8,66%,,0.25,33%,60%,0.0,http://www.ufcstats.com/fighter-details/52cae54377b433b7
Ronys Torres,Record: 35-5-0,"5' 7""",155 lbs.,--,Orthodox,"Aug 13, 1975",0.87,26%,1.93,57%,,4.0,47%,16%,0.5,http://www.ufcstats.com/fighter-details/cce79e827569f26e
Rob Emerson,Record: 18-12-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,30%,2.83,64%,,2.02,52%,65%,0.4,http://www.ufcstats.com/fighter-details/dc0f07928009a127
Caol Uno,Record: 33-19-5,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",1.91,49%,1.9,50%,,1.95,31%,37%,0.5,http://www.ufcstats.com/fighter-details/eb1723480fa2f96c
Lucio Linhares,Record: 19-8-0,"6' 2""",185 lbs.,--,Orthodox,"Dec 08, 1973",0.99,22%,3.47,34%,,1.86,50%,50%,1.9,http://www.ufcstats.com/fighter-details/a780d16cf7eed44d
Rory Markham,Record: 17-6-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982",1.98,21%,10.27,45%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/23a16ebe733e3041
Paul Buentello,Record: 35-17-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jan 16, 1974",3.29,45%,3.83,52%,,0.19,33%,39%,0.4,http://www.ufcstats.com/fighter-details/f0abbb6f3444dae7
Shannon Gugerty,Record: 15-7-0,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",1.25,39%,1.88,58%,,2.13,27%,50%,3.4,http://www.ufcstats.com/fighter-details/9f1641c08cf8fbe2
Chase Gormley,Record: 14-6-0 (1 NC),"6' 3""",265 lbs.,--,Orthodox,--,3.6,42%,6.03,44%,,3.12,42%,0%,1.0,http://www.ufcstats.com/fighter-details/052ceb8976695342
Mark Coleman,Record: 16-10-0,"6' 1""",205 lbs.,"75""",Orthodox,"Dec 20, 1964",1.88,52%,2.62,40%,,3.89,40%,50%,0.8,http://www.ufcstats.com/fighter-details/21b8a0f5c231096f
Frank Trigg,Record: 21-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972",2.79,46%,1.9,56%,,2.35,47%,75%,0.8,http://www.ufcstats.com/fighter-details/d2d37e8eeb3abc8d
Justin Buchholz,Record: 15-10-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 22, 1983",2.35,26%,4.14,51%,,0.0,0%,33%,0.8,http://www.ufcstats.com/fighter-details/231926533134ec1f
Rolles Gracie,Record: 8-4-0,"6' 4""",242 lbs.,--,Orthodox,"Jul 14, 1978",2.3,32%,3.38,55%,,2.3,10%,0%,0.0,http://www.ufcstats.com/fighter-details/e4a9dbade7c7e1a7
Jay Silva,Record: 10-11-1,"6' 2""",185 lbs.,--,Southpaw,--,1.13,34%,3.07,40%,,0.0,0%,38%,1.0,http://www.ufcstats.com/fighter-details/53bb0d40905b87c0
Kyle Bradley,Record: 19-12-0 (1 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",1.99,40%,3.45,58%,,0.65,50%,40%,0.0,http://www.ufcstats.com/fighter-details/a6959da32f0e6b5d
Wilson Gouveia,Record: 14-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,39%,4.06,56%,,0.9,66%,57%,2.2,http://www.ufcstats.com/fighter-details/af5b208e97f5d382
Shane Nelson,Record: 16-7-0,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 29, 1984",1.38,31%,2.84,61%,,1.31,18%,54%,1.6,http://www.ufcstats.com/fighter-details/2db7fa8db6bc9632
Kevin Burns,Record: 12-7-0,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980",2.74,38%,4.3,52%,,0.28,50%,47%,0.8,http://www.ufcstats.com/fighter-details/a6d8bfe9e0c8153b
Houston Alexander,Record: 17-15-1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.2,52%,,1.19,57%,33%,0.0,http://www.ufcstats.com/fighter-details/0541480fbf719d86
Marcus Jones,Record: 4-2-0,"6' 6""",265 lbs.,--,Orthodox,"Aug 15, 1973",1.94,52%,2.71,58%,,8.71,75%,0%,2.9,http://www.ufcstats.com/fighter-details/8fa2b06572365321
